fips	total	salaries	benefits	instruction	instruction_salaries	instruction_benefits	support	pupil_support	staff_support	general_admin	school_admin
22103	11735	6852	3521	6742	4361	2175	4407	769	543	210	636
22105	9840	5659	2583	5806	3760	1667	3499	549	596	80	505
22107	13655	7096	3583	7117	4085	2088	5679	1194	881	588	709
22109	9647	5521	2925	5621	3479	1805	3453	716	870	100	466
22111	11412	6743	2943	6794	4348	1839	3916	461	754	295	471
22113	9838	6077	2293	5806	4052	1448	3467	594	492	313	536
22115	9920	5816	2554	5532	3577	1475	3719	637	459	171	783
22117	11470	6262	3067	6165	3835	1865	4573	749	864	298	786
22119	10217	5802	2660	6161	3951	1738	3272	494	522	197	571
22121	11011	6135	2642	6647	4334	1861	3781	620	463	386	663
22123	11405	6223	3627	6683	3910	2333	3991	604	665	217	722
22125	12991	8039	2890	7282	5164	1735	5079	782	530	330	759
22127	11556	6461	3388	7078	4450	2338	3730	483	743	246	629
23001	12084	7330	2832	7182	5075	1988	4473	688	693	597	642
23003	12727	7241	2831	7121	4782	1907	5173	710	546	585	714
23005	13013	8104	3049	7684	5361	2027	4892	949	679	427	681
23007	12999	7676	3135	7455	4959	2082	5087	745	647	400	720
23009	13982	8014	3084	8015	5372	2128	5486	860	747	639	871
23011	9269	5305	2072	5180	3544	1393	3772	575	508	287	528
23013	13853	8335	3261	8037	5549	2166	5338	965	784	440	823
23015	12157	7163	2710	6923	4787	1879	4764	800	478	561	800
23017	11511	6844	2774	6659	4494	1839	4441	721	516	431	647
23019	11489	6710	2619	6860	4665	1834	4228	728	522	409	664
23021	11250	6094	2319	6237	4088	1640	4605	611	464	519	484
23023	13106	7890	3200	7446	5082	2052	5159	1006	968	514	753
23025	12014	7060	2861	7200	4768	1970	4384	772	482	399	613
23027	13063	7891	2991	7411	4977	1918	5217	888	661	460	761
23029	14128	7516	3105	8178	5308	2179	5424	696	500	842	912
23031	11643	7150	2714	6520	4633	1814	4696	928	505	598	646
24001	14250	8240	3471	9017	5618	2385	4631	549	809	67	837
24003	12762	7482	3298	8040	5143	2337	4421	532	644	87	983
24005	12940	7858	3590	7967	5154	2487	4617	712	549	119	1010
24009	13155	8202	3089	8356	5863	2269	4485	592	482	64	811
24011	11908	7196	2964	7423	4991	2098	4046	645	651	131	781
24013	12580	7247	3308	7729	4951	2343	4616	639	649	62	853
24015	11921	7292	2963	7527	5012	2144	4014	571	547	125	933
24017	12764	7495	2937	7467	5134	1998	4894	684	618	101	790
24019	12856	7336	3068	7688	4915	2131	4654	538	912	97	999
24021	12484	7560	3539	7907	5150	2509	4328	617	744	59	826
24023	14161	7741	3639	8237	5412	2580	5266	784	579	130	670
24025	12758	7236	3572	7765	4973	2479	4602	586	550	56	804
24027	14747	9019	3504	9793	6651	2633	4798	693	757	83	1040
24029	14543	8186	3157	8267	5441	2219	5697	686	858	1270	1001
24031	14873	9394	4429	9473	6212	2997	5075	600	1125	96	1035
24033	13535	7918	3589	7860	5064	2262	5171	659	543	116	907
24035	11354	6531	2897	7107	4680	2138	3957	569	528	63	687
24037	11956	6881	3098	7049	4683	2063	4520	541	756	70	800
24039	14070	8260	3345	8011	5370	2251	5506	769	1434	137	747
24041	11321	6771	3046	6890	4410	2054	4033	432	774	108	749
24043	12583	7339	3174	7594	4898	2214	4509	442	766	73	876
24045	12594	7400	3245	7587	5005	2288	4547	820	795	60	847
24047	16234	9578	3952	10414	6869	2895	5433	658	1091	68	1029
24510	15287	8223	3792	8919	5421	2193	5912	597	928	1116	1552
25001	16056	9678	3621	9963	6821	2618	5718	1078	725	268	777
