Player	Rank	Position	Team	Fantasy Team	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Michael Carter-Williams	66	PG	PHI	Jason's Neat Team	0.819165214	-1.056469296	-0.722594972	-0.314223132	0.646463882	0.430354835	1.625955271	2.227743992	0.139810198	-2.157875565	0.405	0.703	0.8	16.7	6.2	6.3	1.9	0.6	3.5
David Lee	67	PF	GS	Full-On Splits	0.816478519	1.22925452	0.037927347	-1.319737156	0.981245799	1.605255751	-0.434700172	-0.556935998	-0.251267279	-0.474564293	0.523	0.78	0	18.2	9.3	2.1	0.7	0.4	2.2
Kevin Martin	68	SG	MIN	Jesse's Neat Team	0.800517185	-0.572205776	1.134264716	0.816980144	1.18211495	-0.78244611	-0.581889847	0.139234	-0.837883493	0.302348601	0.43	0.891	1.7	19.1	3	1.8	1	0.1	1.6
Jamal Crawford	69	SG	LAC	#N/A	0.792073412	-0.843393347	0.887341885	1.571115662	1.070520977	-1.047746316	0.104995301	-0.092822666	-0.642344755	-0.215593328	0.416	0.866	2.3	18.6	2.3	3.2	0.9	0.2	2
Tyson Chandler	70	C	NY	#N/A	0.747556092	2.585192377	-1.423855811	-1.319737156	-1.139039676	1.71895584	-0.92533242	-0.556935998	1.117503889	0.690805049	0.593	0.632	0	8.7	9.6	1.1	0.7	1.1	1.3
Ricky Rubio	71	PG	MIN	Derp Squad	0.704936095	-1.521362276	0.255219438	-0.691290891	-0.96048932	-0.327645755	2.754409442	3.155970656	-0.837883493	-1.121991705	0.381	0.802	0.5	9.5	4.2	8.6	2.3	0.1	2.7
David West	72	PF	IND	Spurtability	0.668821299	0.551285592	0.126819566	-1.194047903	0.043856431	0.657755013	-0.091257598	-0.324879332	0.726426412	0.172863119	0.488	0.789	0.1	14	6.8	2.8	0.8	0.9	1.7
Terrence Jones	73	PF	HOU	Full-On Splits	0.640296486	1.597294796	-1.690532469	-0.816980144	-0.380200664	0.695655042	-0.92533242	-0.556935998	1.508581365	1.208746978	0.542	0.605	0.4	12.1	6.9	1.1	0.7	1.3	0.9
Channing Frye	74	PF	PHX	Justin's Neat Team	0.560988394	-0.533464694	0.442880789	1.194047903	-0.603388609	0.01345451	-0.876269196	-0.556935998	0.530887674	0.949776014	0.432	0.821	2	11.1	5.1	1.2	0.7	0.8	1.1
Shawn Marion	75	SF	DAL	#N/A	0.550993425	0.435062347	0.087311913	-0.314223132	-0.75962017	0.544054924	-0.680016296	0.603347331	-0.05572854	0.690805049	0.482	0.785	0.8	10.4	6.5	1.6	1.2	0.5	1.3
Nikola Pekovic	76	C	MIN	Justin's Neat Team	0.369986574	1.558553714	-0.28801079	-1.319737156	0.802695443	1.377855574	-1.02345887	-0.788992664	-0.251267279	0.302348601	0.54	0.747	0	17.4	8.7	0.9	0.6	0.4	1.6
Randy Foye	77	SG	DEN	#N/A	0.348959728	-0.90150497	0.71943436	1.571115662	-0.134693925	-0.820346139	0.252184976	-0.324879332	-0.05572854	0.043377637	0.413	0.849	2.3	13.2	2.9	3.5	0.8	0.5	1.8
Kenneth Faried	78	PF	DEN	FOOSHBAGS	0.33665115	1.655406418	-1.246071373	-1.319737156	-0.023099952	1.339955544	-0.876269196	-0.092822666	0.726426412	0.172863119	0.545	0.65	0	13.7	8.6	1.2	0.9	0.9	1.7
Bradley Beal	79	SG	WSH	FOOSHBAGS	0.312938142	-0.785281725	0.116942653	1.06835865	0.73573906	-0.517145903	0.154058526	0.139234	-0.642344755	0.043377637	0.419	0.788	1.9	17.1	3.7	3.3	1	0.2	1.8
Patrick Beverley	80	PG	HOU	Jesse's Neat Team	0.281858231	-0.882134429	0.373742397	0.691290891	-0.804257759	-0.592945962	-0.140320823	1.067460663	-0.251267279	0.820290531	0.414	0.814	1.6	10.2	3.5	2.7	1.4	0.4	1.2
Paul Pierce	81	SF	BKN	Sligonian	0.265578958	-0.165424419	0.492265355	0.565601638	-0.067737541	-0.176045637	-0.287510498	0.371290665	-0.251267279	-0.215593328	0.451	0.826	1.5	13.5	4.6	2.4	1.1	0.4	2
