Player	2016 Fantasy Points	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Terrence Ross	9.9	-3.335	-0.46	0.201	0.842	-0.82	-1.01	-1.03	-0.586	-0.472	1.502	43.1	79	1.8	9.9	2.5	0.8	0.7	0.3	0.6
John Wall	19.9	7.571	-0.598	0.21	0.476	1.348	-0.068	3.586	2.172	0.445	-3.015	42.4	79.1	1.5	19.9	4.9	10.2	1.9	0.8	4.1
Robert Covington	12.8	1.656	-1.363	0.21	1.694	-0.191	0.481	-0.736	1.483	0.078	-0.434	38.5	79.1	2.5	12.8	6.3	1.4	1.6	0.6	2.1
Dennis Schroder	11	-2.358	-0.657	0.21	-0.132	-0.581	-0.971	0.738	-0.126	-0.839	-0.692	42.1	79.1	1	11	2.6	4.4	0.9	0.1	2.3
Pau Gasol	16.5	4.879	0.285	0.22	-0.984	0.611	2.325	0.59	-0.815	2.647	-0.692	46.9	79.2	0.3	16.5	11	4.1	0.6	2	2.3
Dwyane Wade	19	1.05	0.03	0.229	-1.228	1.153	-0.382	0.836	0.334	0.078	-1.208	45.6	79.3	0.1	19	4.1	4.6	1.1	0.6	2.7
Derrick Rose	16.4	-1.231	-0.539	0.229	-0.497	0.589	-0.657	0.885	-0.586	-0.655	-1.208	42.7	79.3	0.7	16.4	3.4	4.7	0.7	0.2	2.7
Zach LaVine	14	-1.078	-0.048	0.229	0.476	0.069	-0.892	0.099	-0.356	-0.655	-0.176	45.2	79.3	1.5	14	2.8	3.1	0.8	0.2	1.9
Chris Bosh	19.1	2.303	0.246	0.248	0.476	1.174	0.912	-0.245	-0.586	0.078	0.341	46.7	79.5	1.5	19.1	7.4	2.4	0.7	0.6	1.5
Robin Lopez	10.3	0.141	1.66	0.248	-1.349	-0.733	0.873	-0.736	-1.735	1.913	0.211	53.9	79.5	0	10.3	7.3	1.4	0.2	1.6	1.6
Zach Randolph	15.3	-1.009	0.403	0.258	-1.228	0.351	1.069	-0.392	-0.815	-0.655	0.341	47.5	79.6	0.1	15.3	7.8	2.1	0.6	0.2	1.5
Tyreke Evans	15.2	2.587	-0.421	0.258	0.233	0.329	0.049	1.818	0.793	-0.472	-1.466	43.3	79.6	1.3	15.2	5.2	6.6	1.3	0.3	2.9
Enes Kanter	12.7	-0.622	2.386	0.267	-1.228	-0.213	1.187	-1.227	-1.505	-0.289	0.47	57.6	79.7	0.1	12.7	8.1	0.4	0.3	0.4	1.4
Tyler Johnson	8.7	-2.602	0.619	0.267	-0.376	-1.08	-0.814	-0.343	-0.586	-0.289	0.599	48.6	79.7	0.8	8.7	3	2.2	0.7	0.4	1.3
Al Horford	15.2	3.982	0.992	0.277	-0.01	0.329	0.873	0.148	-0.356	1.729	0.599	50.5	79.8	1.1	15.2	7.3	3.2	0.8	1.5	1.3
Norris Cole	10.6	-3.298	-0.971	0.296	-0.497	-0.668	-0.657	0.394	-0.356	-0.839	0.082	40.5	80	0.7	10.6	3.4	3.7	0.8	0.1	1.7
Eric Bledsoe	20.4	5.849	-0.029	0.315	0.476	1.456	-0.422	1.573	2.402	0.078	-2.241	45.3	80.2	1.5	20.4	4	6.1	2	0.6	3.5
Jordan Clarkson	15.5	-0.51	-0.421	0.334	0.355	0.394	-0.422	-0.245	0.334	-0.839	0.082	43.3	80.4	1.4	15.5	4	2.4	1.1	0.1	1.7
Matt Barnes	10	-0.984	-1.442	0.334	0.598	-0.798	0.167	-0.392	0.104	0.445	0.211	38.1	80.4	1.6	10	5.5	2.1	1	0.8	1.6
Will Barton	14.4	0.282	-0.441	0.353	0.355	0.156	0.285	-0.195	-0.126	-0.105	0.082	43.2	80.6	1.4	14.4	5.8	2.5	0.9	0.5	1.7
Nikola Mirotic	11.8	-0.277	-0.932	0.362	1.085	-0.408	0.167	-0.687	-0.126	0.262	0.341	40.7	80.7	2	11.8	5.5	1.5	0.9	0.7	1.5
Patty Mills	8.5	-3.513	-0.578	0.391	0.476	-1.123	-1.206	-0.048	-0.586	-0.839	1.115	42.5	81	1.5	8.5	2	2.8	0.7	0.1	0.9
Kyle Lowry	21.2	7.466	-0.539	0.4	2.059	1.63	-0.147	1.72	2.632	-0.289	-1.466	42.7	81.1	2.8	21.2	4.7	6.4	2.1	0.4	2.9
Karl-Anthony Towns	18.3	5.455	1.718	0.4	-0.862	1.001	2.129	-0.441	-0.586	2.096	-0.563	54.2	81.1	0.4	18.3	10.5	2	0.7	1.7	2.2
Kentavious Caldwell-Pope	14.5	-0.333	-0.676	0.4	0.476	0.177	-0.539	-0.539	1.023	-0.655	0.47	42	81.1	1.5	14.5	3.7	1.8	1.4	0.2	1.4
Nikola Jokic	10	0.562	1.13	0.4	-0.862	-0.798	0.755	-0.245	0.104	0.078	0.599	51.2	81.1	0.4	10	7	2.4	1	0.6	1.3
Russell Westbrook	23.5	9.445	-0.009	0.41	0.233	2.128	1.069	3.684	2.402	-0.472	-3.273	45.4	81.2	1.3	23.5	7.8	10.4	2	0.3	4.3
Manu Ginobili	9.6	-1.616	-0.029	0.419	0.111	-0.885	-1.01	0.099	0.334	-0.655	0.082	45.3	81.3	1.2	9.6	2.5	3.1	1.1	0.2	1.7
Jeremy Lin	11.7	-2.333	-0.833	0.438	-0.132	-0.43	-0.735	0.05	-0.586	-0.105	-0.176	41.2	81.5	1	11.7	3.2	3	0.7	0.5	1.9
Kent Bazemore	11.6	0.603	-0.264	0.438	0.476	-0.451	0.01	-0.294	0.793	-0.105	-0.047	44.1	81.5	1.5	11.6	5.1	2.3	1.3	0.5	1.8
Trey Burke	10.6	-4.133	-0.814	0.457	0.355	-0.668	-1.285	-0.294	-1.045	-0.839	0.599	41.3	81.7	1.4	10.6	1.8	2.3	0.5	0.1	1.3
Jae Crowder	14.2	2.172	-0.225	0.486	0.72	0.112	0.01	-0.539	1.713	-0.105	0.857	44.3	82	1.7	14.2	5.1	1.8	1.7	0.5	1.1
