geoid	pop	white	black	amerind	asian	hawaiian	other	two	hispanic	povrate	income	noed	high	associates	bachelors	masters	prof	phd
110010096022	1694	0	1694	0	0	0	0	0	0	0.43742621	12677	0.32688172	0.562365591	0.101075269	0	0.009677419	0	0
110010096031	1345	21	1284	22	0	0	0	18	11	0.162081784	29389	0.199367089	0.657172996	0.094936709	0.023206751	0.025316456	0	0
110010096032	392	0	392	0	0	0	0	0	0	0.025510204	38145	0.225308642	0.311728395	0	0.163580247	0.185185185	0.052469136	0.061728395
110010096033	998	9	844	0	0	0	117	28	117	0.206412826	23264	0.213836478	0.551886792	0.04245283	0.119496855	0.055031447	0.017295597	0
110010096041	1063	13	1047	0	0	0	0	3	33	0.172874881	27671	0.143757881	0.604035309	0.044136192	0.126103405	0.071878941	0.010088272	0
110010096042	978	11	967	0	0	0	0	0	12	0.037832311	24298	0.058321479	0.769559033	0.042674253	0.113798009	0.015647226	0	0
110010097001	2245	0	2216	0	0	0	29	0	10	0.351073345	15828	0.196105702	0.66689847	0.04659249	0.038247566	0.042420028	0.009735744	0
110010097002	686	6	677	0	0	0	3	0	3	0.428571429	19579	0.145888594	0.564986737	0.092838196	0.177718833	0.018567639	0	0
110010098011	2099	5	2025	1	0	0	0	68	21	0.469497316	12663	0.363807729	0.45994345	0.043355325	0.081055608	0.01602262	0.035815269	0
110010098021	369	0	369	0	0	0	0	0	0	0.620596206	6731	0.331210191	0.611464968	0.057324841	0	0	0	0
110010098022	834	0	834	0	0	0	0	0	0	0.376498801	19274	0.149722736	0.632162662	0.036968577	0.149722736	0.011090573	0.011090573	0.009242144
110010098031	837	6	831	0	0	0	0	0	0	0.365591398	10904	0.191343964	0.671981777	0.123006834	0	0	0.013667426	0
110010098032	908	0	908	0	0	0	0	0	0	0.488372093	18011	0.11882716	0.679012346	0.060185185	0.108024691	0.033950617	0	0
110010098033	938	37	901	0	0	0	0	0	0	0.4445629	15443	0.267857143	0.602678571	0	0.011904762	0.117559524	0	0
110010098041	1899	18	1849	0	0	0	12	20	18	0.304864865	20348	0.073732719	0.715437788	0.051843318	0.096774194	0.031105991	0.02764977	0.003456221
110010098042	716	8	708	0	0	0	0	0	4	0.209497207	23262	0.174537988	0.691991786	0.039014374	0.065708419	0.028747433	0	0
110010098071	745	20	725	0	0	0	0	0	0	0.48590604	21070	0.163461538	0.617307692	0	0.182692308	0.036538462	0	0
110010098072	2357	86	2249	0	0	0	0	22	24	0.282399299	26263	0.156925032	0.715374841	0.014612452	0.048919949	0.047649301	0.016518424	0
110010098101	1251	0	1180	0	0	0	31	40	0	0.363783347	15908	0.215654952	0.730031949	0.036741214	0.017571885	0	0	0
110010098102	855	3	805	0	0	0	0	47	9	0.258907363	19570	0.198653199	0.671717172	0.02020202	0.109427609	0	0	0
110010098111	1840	0	1812	0	0	0	0	28	0	0.460326087	11456	0.205035971	0.685851319	0	0.10911271	0	0	0
110010098112	2980	0	2961	0	0	0	19	0	0	0.444966443	11097	0.15161503	0.791694133	0.014502307	0.018457482	0.023731048	0	0
110010099011	748	44	687	0	0	0	0	17	42	0.139037433	44680	0.064102564	0.434294872	0.096153846	0.267628205	0.110576923	0.012820513	0.014423077
110010099012	1531	108	1369	0	0	0	12	42	8	0.060091444	47781	0.050199203	0.432669323	0.039840637	0.270119522	0.133067729	0.047011952	0.027091633
110010099021	884	12	872	0	0	0	0	0	19	0.122260669	31626	0.118571429	0.627142857	0.022857143	0.135714286	0.084285714	0	0.011428571
110010099022	2076	8	2043	0	7	0	0	18	0	0.313102119	18162	0.172636103	0.578080229	0.052292264	0.151146132	0.045845272	0	0
110010099031	845	14	802	29	0	0	0	0	23	0.112426036	28741	0.152854512	0.576427256	0.012891344	0.232044199	0.025782689	0	0
110010099032	670	22	648	0	0	0	0	0	0	0.234328358	42238	0.064516129	0.535842294	0.177419355	0.035842294	0.170250896	0.016129032	0
110010099041	654	13	545	0	1	0	0	95	109	0.309707242	19309	0.230434783	0.62826087	0.013043478	0.115217391	0	0	0.013043478
110010099042	1119	11	1083	0	0	0	19	6	19	0.342269884	20009	0.182370821	0.629179331	0.06231003	0.059270517	0.066869301	0	0
110010099051	1140	73	1053	0	14	0	0	0	73	0.314035088	19548	0.136887608	0.73054755	0	0.048991354	0	0.063400576	0.020172911
110010099052	533	9	524	0	0	0	0	0	9	0.110694184	29822	0.097186701	0.647058824	0.046035806	0.125319693	0.084398977	0	0
110010099053	825	20	804	1	0	0	0	0	0	0.228606357	15212	0.20959596	0.646464646	0.055555556	0.032828283	0.055555556	0	0
110010099061	1213	27	1186	0	0	0	0	0	14	0.195383347	21069	0.148741419	0.676201373	0.050343249	0.040045767	0.058352403	0.026315789	0
110010099071	927	14	893	0	0	0	0	20	53	0.262135922	21246	0.257142857	0.614285714	0.046938776	0	0.028571429	0.034693878	0.018367347
110010099072	1846	0	1794	9	0	0	0	43	43	0.515167931	13599	0.280788177	0.6591133	0.007881773	0.043349754	0.008866995	0	0
110010101001	1787	1245	224	0	138	11	127	42	233	0.113675707	75738	0.082628497	0.095640859	0.042290176	0.275211451	0.275211451	0.152244632	0.076772934
110010101002	656	395	72	0	151	0	34	4	127	0.160060976	52259	0.053639847	0.181992337	0.021072797	0.340996169	0.300766284	0.095785441	0.005747126
110010102001	1075	611	414	0	42	0	0	8	30	0.080930233	65550	0.012114537	0.203744493	0.045154185	0.276431718	0.279735683	0.104625551	0.078193833
110010102002	1501	601	625	0	65	0	0	210	187	0.038640906	64134	0.065820777	0.158604282	0.022997621	0.311657415	0.197462331	0.141157811	0.102299762
110010103001	845	343	440	14	18	0	10	20	26	0.02259887	44747	0.099137931	0.474137931	0.097701149	0.076149425	0.189655172	0.024425287	0.038793103
110010103002	1030	95	744	0	28	0	163	0	254	0.113924051	33066	0.171290712	0.317249698	0.051869723	0.238841978	0.154402895	0.02291918	0.043425814
110010103003	1287	146	856	24	25	0	204	32	336	0.338772339	25983	0.194303154	0.368260427	0.07629705	0.177009156	0.12207528	0.008138352	0.053916582
110010104001	1816	144	1649	0	0	0	0	23	0	0.328744493	21051	0.0981755	0.67680278	0	0.200695048	0.012163336	0	0.012163336
110010104002	2362	135	2200	0	8	0	4	15	18	0.272771318	19185	0.199753391	0.553637485	0.085080148	0.075832306	0.081997534	0.003699137	0
110010105001	1834	710	951	11	69	0	51	42	184	0.177753544	42191	0.053314121	0.429394813	0.025216138	0.298991354	0.15778098	0.013688761	0.021613833
110010105002	1826	1038	454	19	241	0	0	74	58	0.025739321	67348	0.039342337	0.133294187	0.010569583	0.439812096	0.340575455	0.028185555	0.008220787
110010106001	829	193	544	0	78	0	0	14	27	0.289505428	31177	0.09948542	0.346483705	0.018867925	0.183533448	0.272727273	0.07890223	0
110010106002	3090	1856	838	26	191	15	99	65	351	0.144983819	54377	0.082899306	0.153211806	0.017795139	0.384982639	0.240017361	0.097222222	0.023871528
110010106003	732	408	244	8	0	0	56	16	157	0.148907104	42097	0.149012567	0.26929982	0	0.290843806	0.276481149	0.014362657	0
110010107001	796	583	91	0	101	0	0	21	12	0.290662651	56249	0.025695931	0.029978587	0	0.451820128	0.239828694	0.122055675	0.130620985
110010107002	1018	692	92	0	186	0	9	39	39	0.179764244	63047	0.042806183	0.180737218	0.009512485	0.269916766	0.285374554	0.1843044	0.027348395
110010108001	1781	1307	225	0	131	0	5	113	98	0.617886179	6707	0.139303483	0.164179104	0	0.248756219	0.07960199	0.114427861	0.253731343
